iter	Passed	Remaining
0	135	135105
1	136	68359
2	138	45964
3	139	34774
4	141	28064
5	142	23664
6	144	20476
7	146	18165
8	147	16296
9	149	14777
10	150	13570
11	152	12564
12	154	11722
13	156	10992
14	157	10350
15	159	9811
16	161	9322
17	163	8894
18	164	8509
19	166	8169
20	168	7855
21	170	7572
22	172	7316
23	174	7082
24	175	6855
25	177	6644
26	179	6459
27	180	6271
28	182	6112
29	184	5971
30	186	5829
31	188	5698
32	190	5572
33	192	5455
34	194	5358
35	196	5266
36	198	5178
37	200	5075
38	202	4977
39	203	4884
40	205	4797
41	206	4719
42	208	4636
43	210	4564
44	211	4496
45	214	4442
46	216	4389
47	217	4321
48	219	4256
49	220	4194
50	222	4136
51	223	4075
52	224	4017
53	226	3976
54	228	3928
55	230	3878
56	231	3829
57	232	3781
58	234	3737
59	235	3695
60	237	3655
61	238	3611
62	240	3571
63	242	3539
64	243	3502
65	244	3462
66	246	3426
67	247	3391
68	248	3356
69	249	3320
70	251	3287
71	252	3258
72	254	3227
73	255	3201
74	257	3171
75	258	3146
76	260	3120
77	261	3093
78	263	3067
79	264	3041
80	265	3015
81	267	2990
82	267	2957
83	268	2931
84	270	2907
85	271	2889
86	273	2867
87	274	2846
88	276	2825
89	277	2803
90	278	2781
91	279	2759
92	280	2737
93	281	2715
94	282	2693
95	283	2673
96	285	2658
97	286	2639
98	287	2620
99	289	2604
100	290	2588
101	292	2575
102	293	2557
103	295	2542
104	296	2525
105	297	2510
106	298	2493
107	300	2481
108	301	2465
109	302	2451
110	304	2437
111	305	2422
112	306	2406
113	307	2391
114	308	2377
115	310	2363
116	310	2346
117	312	2335
118	313	2322
119	315	2312
120	316	2301
121	317	2286
122	318	2274
123	320	2262
124	321	2252
125	323	2242
126	324	2229
127	325	2218
128	327	2208
129	328	2196
130	329	2186
131	331	2178
132	332	2168
133	333	2158
134	335	2149
135	337	2141
136	338	2131
137	339	2121
138	340	2112
139	342	2102
140	343	2095
141	345	2085
142	346	2078
143	348	2070
144	349	2062
145	351	2055
146	352	2048
147	354	2039
148	355	2032
149	357	2024
150	358	2017
151	360	2011
152	362	2004
153	363	1998
154	364	1989
155	366	1981
156	367	1972
157	368	1964
158	369	1956
159	371	1949
160	372	1939
161	373	1932
162	375	1927
163	376	1920
164	378	1914
165	379	1908
166	381	1901
167	382	1893
168	383	1885
169	384	1878
170	386	1871
171	387	1865
172	388	1858
173	390	1853
174	391	1846
175	392	1839
176	394	1832
177	395	1825
178	396	1818
179	397	1812
180	398	1805
181	400	1799
182	401	1793
183	402	1786
184	404	1783
185	406	1778
186	407	1773
187	409	1769
188	411	1763
189	412	1758
190	414	1753
191	415	1747
192	416	1741
193	418	1736
194	420	1734
195	421	1730
196	423	1725
197	424	1720
198	426	1716
199	428	1712
200	429	1707
201	431	1702
202	432	1696
203	433	1692
204	435	1688
205	436	1684
206	438	1679
207	440	1675
208	441	1670
209	443	1666
210	444	1661
211	445	1656
212	446	1651
213	448	1648
214	450	1644
215	451	1639
216	453	1635
217	454	1629
218	455	1625
219	456	1619
220	458	1615
221	459	1610
222	460	1605
223	462	1600
224	463	1598
225	465	1594
226	467	1590
227	468	1587
228	470	1583
229	471	1578
230	472	1574
231	473	1568
232	475	1564
233	476	1560
234	478	1556
235	479	1553
236	481	1549
237	482	1545
238	483	1540
239	485	1536
240	486	1531
241	487	1527
242	488	1522
243	490	1519
244	491	1515
245	492	1510
246	494	1507
247	496	1504
248	497	1501
249	499	1497
250	500	1493
251	501	1489
252	503	1485
253	504	1481
254	505	1476
255	506	1472
256	508	1469
257	509	1466
258	511	1463
259	512	1460
260	514	1456
261	515	1452
262	516	1448
263	518	1444
264	519	1440
265	520	1436
266	522	1433
267	523	1430
268	525	1427
269	526	1423
270	527	1419
271	529	1416
272	530	1413
273	532	1410
274	533	1407
275	535	1403
276	536	1400
277	537	1396
278	539	1393
279	540	1390
280	542	1387
281	543	1384
282	544	1380
283	546	1376
284	547	1372
285	548	1369
286	549	1365
287	550	1361
288	552	1358
289	554	1356
290	555	1354
291	557	1351
292	559	1349
293	560	1346
294	561	1342
295	563	1339
296	564	1336
297	565	1332
298	567	1329
299	568	1327
300	570	1323
301	571	1320
302	572	1317
303	573	1313
304	575	1310
305	576	1308
306	578	1306
307	580	1303
308	581	1300
309	583	1298
310	585	1296
311	586	1293
312	588	1291
313	589	1288
314	591	1286
315	593	1283
316	594	1281
317	595	1278
318	597	1276
319	599	1273
320	601	1271
321	602	1269
322	604	1266
323	605	1263
324	606	1260
325	608	1257
326	609	1254
327	611	1252
328	613	1250
329	614	1247
330	616	1245
331	617	1243
